index,Time,NOR Speed,PIA Speed,VER Speed
439,0 days 00:00:39.567000,258.0,NaN,NaN
440,0 days 00:00:39.670000,NaN,257.0,NaN
441,0 days 00:00:39.807000,264.0,NaN,NaN
442,0 days 00:00:39.818000,NaN,NaN,262.0
443,0 days 00:00:39.830000,NaN,261.0,NaN
444,0 days 00:00:40.007000,267.0,NaN,NaN
445,0 days 00:00:40.058000,NaN,NaN,268.0
446,0 days 00:00:40.110000,NaN,266.0,NaN
447,0 days 00:00:40.246000,270.0,NaN,NaN
448,0 days 00:00:40.258000,NaN,NaN,270.0
449,0 days 00:00:40.390000,NaN,270.0,NaN
450,0 days 00:00:40.499000,NaN,NaN,272.0
451,0 days 00:00:40.607000,272.0,NaN,NaN
452,0 days 00:00:40.630000,NaN,274.0,NaN
453,0 days 00:00:40.658000,NaN,NaN,274.0
454,0 days 00:00:40.870000,NaN,273.0,NaN
455,0 days 00:00:40.927000,246.0,NaN,NaN
456,0 days 00:00:41.110000,NaN,245.0,NaN
457,0 days 00:00:41.207000,220.0,NaN,NaN
458,0 days 00:00:41.310000,NaN,227.0,NaN
459,0 days 00:00:41.447000,210.0,NaN,NaN
460,0 days 00:00:41.470000,NaN,222.0,NaN
461,0 days 00:00:41.619000,NaN,NaN,199.0
462,0 days 00:00:41.648000,204.0,NaN,NaN
463,0 days 00:00:41.670000,NaN,211.0,NaN
464,0 days 00:00:41.807000,202.0,NaN,NaN
465,0 days 00:00:41.938000,NaN,NaN,192.0
466,0 days 00:00:42.030000,NaN,202.0,NaN
467,0 days 00:00:42.047000,197.0,NaN,NaN
468,0 days 00:00:42.098000,NaN,NaN,190.0
469,0 days 00:00:42.190000,NaN,197.0,NaN
470,0 days 00:00:42.247000,196.0,NaN,NaN
471,0 days 00:00:42.297000,NaN,NaN,193.0
472,0 days 00:00:42.407000,194.0,NaN,NaN
473,0 days 00:00:42.431000,NaN,195.0,NaN
474,0 days 00:00:42.617000,NaN,NaN,197.0
475,0 days 00:00:42.630000,NaN,196.0,NaN
476,0 days 00:00:42.647000,199.0,NaN,NaN
477,0 days 00:00:42.910000,NaN,205.0,NaN
478,0 days 00:00:43.008000,210.0,NaN,NaN
479,0 days 00:00:43.018000,NaN,NaN,210.0
480,0 days 00:00:43.191000,NaN,213.0,NaN
481,0 days 00:00:43.218000,NaN,NaN,215.0
482,0 days 00:00:43.247000,215.0,NaN,NaN
483,0 days 00:00:43.377000,NaN,NaN,221.0
484,0 days 00:00:43.429000,NaN,221.0,NaN
485,0 days 00:00:43.527000,223.0,NaN,NaN
486,0 days 00:00:43.618000,NaN,NaN,226.0
487,0 days 00:00:43.629000,NaN,227.0,NaN
488,0 days 00:00:43.727000,229.0,NaN,NaN
489,0 days 00:00:43.778000,NaN,NaN,232.0
490,0 days 00:00:43.830000,NaN,232.0,NaN
491,0 days 00:00:43.937000,NaN,NaN,232.0
492,0 days 00:00:44.087000,240.0,NaN,NaN
493,0 days 00:00:44.138000,NaN,NaN,240.0
494,0 days 00:00:44.189000,NaN,239.0,NaN
495,0 days 00:00:44.326000,243.0,NaN,NaN
496,0 days 00:00:44.378000,NaN,NaN,248.0
497,0 days 00:00:44.469000,NaN,247.0,NaN
498,0 days 00:00:44.618000,NaN,NaN,252.0
499,0 days 00:00:44.647000,250.0,NaN,NaN
500,0 days 00:00:44.777000,NaN,NaN,257.0
501,0 days 00:00:44.830000,NaN,256.0,NaN
502,0 days 00:00:44.846000,256.0,NaN,NaN
503,0 days 00:00:44.938000,NaN,NaN,259.0
504,0 days 00:00:45.007000,259.0,NaN,NaN
505,0 days 00:00:45.069000,NaN,260.0,NaN
506,0 days 00:00:45.258000,NaN,NaN,267.0
507,0 days 00:00:45.269000,NaN,262.0,NaN
508,0 days 00:00:45.366000,265.0,NaN,NaN
509,0 days 00:00:45.510000,NaN,270.0,NaN
510,0 days 00:00:45.686000,275.0,NaN,NaN
511,0 days 00:00:45.738000,NaN,NaN,273.0
512,0 days 00:00:45.750000,NaN,274.0,NaN
513,0 days 00:00:45.938000,NaN,NaN,279.0
514,0 days 00:00:45.966000,279.0,NaN,NaN
515,0 days 00:00:45.990000,NaN,278.0,NaN
516,0 days 00:00:46.127000,282.0,NaN,NaN
517,0 days 00:00:46.190000,NaN,282.0,NaN
518,0 days 00:00:46.327000,286.0,NaN,NaN
519,0 days 00:00:46.338000,NaN,NaN,286.0
520,0 days 00:00:46.429000,NaN,287.0,NaN
521,0 days 00:00:46.527000,289.0,NaN,NaN
522,0 days 00:00:46.578000,NaN,NaN,291.0
523,0 days 00:00:46.790000,NaN,290.0,NaN
524,0 days 00:00:46.807000,294.0,NaN,NaN
525,0 days 00:00:46.978000,NaN,NaN,295.0
526,0 days 00:00:47.110000,NaN,297.0,NaN
527,0 days 00:00:47.138000,NaN,NaN,298.0
528,0 days 00:00:47.247000,299.0,NaN,NaN
529,0 days 00:00:47.378000,NaN,NaN,302.0
530,0 days 00:00:47.390000,NaN,300.0,NaN
531,0 days 00:00:47.487000,303.0,NaN,NaN
532,0 days 00:00:47.579000,NaN,NaN,304.0
533,0 days 00:00:47.630000,NaN,304.0,NaN
534,0 days 00:00:47.687000,306.0,NaN,NaN
535,0 days 00:00:47.738000,NaN,NaN,305.0
536,0 days 00:00:47.831000,NaN,306.0,NaN
537,0 days 00:00:47.927000,308.0,NaN,NaN
538,0 days 00:00:47.938000,NaN,NaN,308.0
539,0 days 00:00:47.990000,NaN,307.0,NaN
540,0 days 00:00:48.230000,NaN,310.0,NaN
541,0 days 00:00:48.287000,311.0,NaN,NaN
542,0 days 00:00:48.338000,NaN,NaN,312.0
543,0 days 00:00:48.430000,NaN,312.0,NaN
544,0 days 00:00:48.577000,NaN,NaN,315.0
545,0 days 00:00:48.590000,NaN,313.0,NaN
546,0 days 00:00:48.607000,315.0,NaN,NaN
547,0 days 00:00:48.830000,NaN,316.0,NaN
548,0 days 00:00:48.847000,317.0,NaN,NaN
549,0 days 00:00:48.898000,NaN,NaN,318.0
550,0 days 00:00:49.047000,318.0,NaN,NaN
551,0 days 00:00:49.097000,NaN,NaN,321.0
552,0 days 00:00:49.191000,NaN,319.0,NaN
553,0 days 00:00:49.288000,322.0,NaN,NaN
554,0 days 00:00:49.377000,NaN,NaN,323.0
555,0 days 00:00:49.430000,NaN,322.0,NaN
556,0 days 00:00:49.447000,322.0,NaN,NaN
557,0 days 00:00:49.710000,NaN,324.0,NaN
558,0 days 00:00:49.818000,NaN,NaN,326.0
559,0 days 00:00:49.910000,NaN,326.0,NaN
560,0 days 00:00:50.098000,NaN,NaN,328.0
561,0 days 00:00:50.270000,NaN,328.0,NaN
562,0 days 00:00:50.338000,NaN,NaN,330.0
563,0 days 00:00:50.408000,330.0,NaN,NaN
564,0 days 00:00:50.509000,NaN,330.0,NaN
565,0 days 00:00:50.698000,NaN,NaN,333.0
566,0 days 00:00:50.727000,332.0,NaN,NaN
567,0 days 00:00:50.830000,NaN,332.0,NaN
568,0 days 00:00:50.887000,333.0,NaN,NaN
569,0 days 00:00:51.029000,NaN,333.0,NaN
570,0 days 00:00:51.057000,NaN,NaN,335.0
571,0 days 00:00:51.086000,334.0,NaN,NaN
572,0 days 00:00:51.190000,NaN,333.0,NaN
573,0 days 00:00:51.298000,NaN,NaN,335.0
574,0 days 00:00:51.406000,335.0,NaN,NaN
575,0 days 00:00:51.549000,NaN,335.0,NaN
576,0 days 00:00:51.617000,NaN,NaN,337.0
577,0 days 00:00:51.778000,NaN,NaN,338.0
578,0 days 00:00:51.807000,336.0,NaN,NaN
579,0 days 00:00:51.869000,NaN,336.0,NaN
580,0 days 00:00:52.007000,337.0,NaN,NaN
581,0 days 00:00:52.138000,NaN,NaN,339.0
582,0 days 00:00:52.149000,NaN,337.0,NaN
583,0 days 00:00:52.166000,338.0,NaN,NaN
584,0 days 00:00:52.298000,NaN,NaN,339.0
585,0 days 00:00:52.310000,NaN,337.0,NaN
586,0 days 00:00:52.407000,339.0,NaN,NaN
587,0 days 00:00:52.498000,NaN,NaN,340.0
588,0 days 00:00:52.510000,NaN,338.0,NaN
589,0 days 00:00:52.567000,339.0,NaN,NaN
590,0 days 00:00:52.698000,NaN,NaN,341.0
591,0 days 00:00:52.710000,NaN,339.0,NaN
592,0 days 00:00:52.726000,340.0,NaN,NaN
593,0 days 00:00:52.898000,NaN,NaN,341.0
594,0 days 00:00:52.927000,340.0,NaN,NaN
595,0 days 00:00:52.990000,NaN,339.0,NaN
596,0 days 00:00:53.058000,NaN,NaN,341.0
597,0 days 00:00:53.167000,341.0,NaN,NaN
598,0 days 00:00:53.338000,NaN,NaN,341.0
599,0 days 00:00:53.407000,341.0,NaN,NaN
600,0 days 00:00:53.430000,NaN,340.0,NaN
601,0 days 00:00:53.539000,NaN,NaN,341.0
602,0 days 00:00:53.566000,341.0,NaN,NaN
603,0 days 00:00:53.670000,NaN,341.0,NaN
604,0 days 00:00:53.727000,341.0,NaN,NaN
605,0 days 00:00:53.870000,NaN,340.0,NaN
606,0 days 00:00:53.898000,NaN,NaN,340.0
607,0 days 00:00:54.047000,324.0,NaN,NaN
608,0 days 00:00:54.099000,NaN,NaN,314.0
609,0 days 00:00:54.110000,NaN,334.0,NaN
610,0 days 00:00:54.379000,NaN,NaN,268.0
611,0 days 00:00:54.470000,NaN,288.0,NaN
612,0 days 00:00:54.527000,252.0,NaN,NaN
613,0 days 00:00:54.699000,NaN,NaN,232.0
614,0 days 00:00:54.727000,234.0,NaN,NaN
615,0 days 00:00:54.790000,NaN,249.0,NaN
616,0 days 00:00:54.979000,NaN,NaN,209.0
617,0 days 00:00:55.030000,NaN,239.0,NaN
618,0 days 00:00:55.127000,213.0,NaN,NaN
619,0 days 00:00:55.178000,NaN,NaN,203.0
620,0 days 00:00:55.230000,NaN,217.0,NaN
621,0 days 00:00:55.367000,209.0,NaN,NaN
622,0 days 00:00:55.471000,NaN,212.0,NaN
623,0 days 00:00:55.538000,NaN,NaN,195.0
624,0 days 00:00:55.630000,NaN,209.0,NaN
625,0 days 00:00:55.767000,202.0,NaN,NaN
626,0 days 00:00:55.857000,NaN,NaN,199.0
627,0 days 00:00:55.927000,203.0,NaN,NaN
628,0 days 00:00:56.167000,208.0,NaN,NaN
629,0 days 00:00:56.217000,NaN,NaN,210.0
630,0 days 00:00:56.368000,215.0,NaN,NaN
631,0 days 00:00:56.417000,NaN,NaN,218.0
632,0 days 00:00:56.527000,221.0,NaN,NaN
633,0 days 00:00:56.578000,NaN,NaN,222.0
634,0 days 00:00:56.591000,NaN,220.0,NaN
635,0 days 00:00:56.727000,224.0,NaN,NaN
636,0 days 00:00:56.910000,NaN,227.0,NaN
637,0 days 00:00:57.070000,NaN,229.0,NaN
638,0 days 00:00:57.098000,NaN,NaN,231.0
639,0 days 00:00:57.127000,233.0,NaN,NaN
640,0 days 00:00:57.269000,NaN,232.0,NaN
641,0 days 00:00:57.297000,NaN,NaN,236.0
642,0 days 00:00:57.366000,236.0,NaN,NaN
643,0 days 00:00:57.458000,NaN,NaN,238.0
644,0 days 00:00:57.589000,NaN,238.0,NaN
645,0 days 00:00:57.658000,NaN,NaN,243.0
646,0 days 00:00:57.687000,244.0,NaN,NaN
647,0 days 00:00:57.886000,248.0,NaN,NaN
648,0 days 00:00:57.898000,NaN,NaN,247.0
649,0 days 00:00:57.990000,NaN,246.0,NaN
650,0 days 00:00:58.098000,NaN,NaN,253.0
651,0 days 00:00:58.166000,253.0,NaN,NaN
652,0 days 00:00:58.190000,NaN,252.0,NaN
653,0 days 00:00:58.338000,NaN,NaN,256.0
654,0 days 00:00:58.349000,NaN,255.0,NaN
655,0 days 00:00:58.590000,NaN,257.0,NaN
656,0 days 00:00:58.607000,258.0,NaN,NaN
657,0 days 00:00:58.698000,NaN,NaN,260.0
658,0 days 00:00:58.750000,NaN,258.0,NaN
659,0 days 00:00:58.858000,NaN,NaN,262.0
660,0 days 00:00:58.887000,262.0,NaN,NaN
661,0 days 00:00:58.909000,NaN,262.0,NaN
662,0 days 00:00:59.098000,NaN,NaN,265.0
663,0 days 00:00:59.110000,NaN,265.0,NaN
664,0 days 00:00:59.127000,266.0,NaN,NaN
665,0 days 00:00:59.350000,NaN,268.0,NaN
666,0 days 00:00:59.418000,NaN,NaN,270.0
667,0 days 00:00:59.487000,272.0,NaN,NaN
668,0 days 00:00:59.590000,NaN,271.0,NaN
669,0 days 00:00:59.698000,NaN,NaN,275.0
670,0 days 00:00:59.749000,NaN,274.0,NaN
671,0 days 00:00:59.846000,277.0,NaN,NaN
672,0 days 00:00:59.910000,NaN,277.0,NaN
673,0 days 00:00:59.938000,NaN,NaN,278.0
674,0 days 00:01:00.087000,281.0,NaN,NaN
675,0 days 00:01:00.230000,NaN,280.0,NaN
676,0 days 00:01:00.258000,NaN,NaN,285.0
677,0 days 00:01:00.406000,286.0,NaN,NaN
678,0 days 00:01:00.538000,NaN,NaN,288.0
679,0 days 00:01:00.567000,287.0,NaN,NaN
680,0 days 00:01:00.710000,NaN,285.0,NaN
681,0 days 00:01:00.738000,NaN,NaN,290.0
682,0 days 00:01:00.910000,NaN,291.0,NaN
683,0 days 00:01:00.927000,292.0,NaN,NaN
684,0 days 00:01:01.018000,NaN,NaN,294.0
685,0 days 00:01:01.087000,293.0,NaN,NaN
686,0 days 00:01:01.287000,297.0,NaN,NaN
687,0 days 00:01:01.298000,NaN,NaN,297.0
688,0 days 00:01:01.310000,NaN,296.0,NaN
689,0 days 00:01:01.487000,299.0,NaN,NaN
690,0 days 00:01:01.550000,NaN,298.0,NaN
691,0 days 00:01:01.578000,NaN,NaN,301.0
692,0 days 00:01:01.687000,301.0,NaN,NaN
693,0 days 00:01:01.818000,NaN,NaN,303.0
694,0 days 00:01:01.847000,303.0,NaN,NaN
695,0 days 00:01:01.950000,NaN,302.0,NaN
696,0 days 00:01:02.110000,NaN,304.0,NaN
697,0 days 00:01:02.127000,305.0,NaN,NaN
698,0 days 00:01:02.177000,NaN,NaN,307.0
699,0 days 00:01:02.328000,307.0,NaN,NaN
700,0 days 00:01:02.350000,NaN,306.0,NaN
701,0 days 00:01:02.497000,NaN,NaN,310.0
702,0 days 00:01:02.551000,NaN,307.0,NaN
703,0 days 00:01:02.687000,310.0,NaN,NaN
704,0 days 00:01:02.710000,NaN,309.0,NaN
705,0 days 00:01:02.737000,NaN,NaN,310.0
706,0 days 00:01:02.888000,312.0,NaN,NaN
707,0 days 00:01:02.910000,NaN,311.0,NaN
708,0 days 00:01:02.977000,NaN,NaN,314.0
709,0 days 00:01:03.168000,313.0,NaN,NaN
710,0 days 00:01:03.178000,NaN,NaN,315.0
711,0 days 00:01:03.310000,NaN,314.0,NaN
712,0 days 00:01:03.488000,315.0,NaN,NaN
713,0 days 00:01:03.549000,NaN,315.0,NaN
714,0 days 00:01:03.658000,NaN,NaN,319.0
715,0 days 00:01:03.768000,317.0,NaN,NaN
716,0 days 00:01:03.870000,NaN,317.0,NaN
717,0 days 00:01:03.967000,319.0,NaN,NaN
718,0 days 00:01:04.058000,NaN,NaN,321.0
719,0 days 00:01:04.069000,NaN,318.0,NaN
720,0 days 00:01:04.327000,321.0,NaN,NaN
721,0 days 00:01:04.349000,NaN,320.0,NaN
722,0 days 00:01:04.458000,NaN,NaN,323.0
723,0 days 00:01:04.646000,322.0,NaN,NaN
724,0 days 00:01:04.790000,NaN,321.0,NaN
725,0 days 00:01:04.858000,NaN,NaN,324.0
726,0 days 00:01:05.006000,323.0,NaN,NaN
727,0 days 00:01:05.018000,NaN,NaN,325.0
728,0 days 00:01:05.070000,NaN,323.0,NaN
729,0 days 00:01:05.206000,324.0,NaN,NaN
730,0 days 00:01:05.258000,NaN,NaN,326.0
731,0 days 00:01:05.310000,NaN,324.0,NaN
732,0 days 00:01:05.367000,325.0,NaN,NaN
733,0 days 00:01:05.418000,NaN,NaN,326.0
734,0 days 00:01:05.618000,NaN,NaN,327.0
735,0 days 00:01:05.670000,NaN,325.0,NaN
736,0 days 00:01:05.887000,326.0,NaN,NaN
737,0 days 00:01:05.898000,NaN,NaN,328.0
738,0 days 00:01:06.029000,NaN,326.0,NaN
739,0 days 00:01:06.086000,327.0,NaN,NaN
740,0 days 00:01:06.138000,NaN,NaN,329.0
741,0 days 00:01:06.247000,327.0,NaN,NaN
742,0 days 00:01:06.270000,NaN,327.0,NaN
743,0 days 00:01:06.447000,328.0,NaN,NaN
744,0 days 00:01:06.498000,NaN,NaN,329.0
745,0 days 00:01:06.589000,NaN,328.0,NaN
746,0 days 00:01:06.687000,329.0,NaN,NaN
747,0 days 00:01:06.738000,NaN,NaN,330.0
748,0 days 00:01:06.750000,NaN,328.0,NaN
749,0 days 00:01:06.887000,329.0,NaN,NaN
750,0 days 00:01:06.899000,NaN,NaN,331.0
751,0 days 00:01:07.110000,NaN,329.0,NaN
752,0 days 00:01:07.127000,329.0,NaN,NaN
753,0 days 00:01:07.270000,NaN,329.0,NaN
754,0 days 00:01:07.419000,NaN,NaN,332.0
755,0 days 00:01:07.470000,NaN,330.0,NaN
756,0 days 00:01:07.487000,330.0,NaN,NaN
757,0 days 00:01:07.618000,NaN,NaN,332.0
758,0 days 00:01:07.647000,331.0,NaN,NaN
759,0 days 00:01:07.670000,NaN,330.0,NaN
760,0 days 00:01:07.778000,NaN,NaN,332.0
761,0 days 00:01:07.870000,NaN,331.0,NaN
762,0 days 00:01:07.887000,331.0,NaN,NaN
763,0 days 00:01:08.030000,NaN,331.0,NaN
764,0 days 00:01:08.138000,NaN,NaN,332.0
765,0 days 00:01:08.207000,331.0,NaN,NaN
766,0 days 00:01:08.310000,NaN,332.0,NaN
767,0 days 00:01:08.418000,NaN,NaN,331.0
768,0 days 00:01:08.487000,331.0,NaN,NaN
769,0 days 00:01:08.511000,NaN,332.0,NaN
770,0 days 00:01:08.579000,NaN,NaN,331.0
771,0 days 00:01:08.727000,330.0,NaN,NaN
772,0 days 00:01:08.818000,NaN,NaN,331.0
773,0 days 00:01:08.870000,NaN,330.0,NaN
774,0 days 00:01:09.047000,321.0,NaN,NaN
775,0 days 00:01:09.071000,NaN,330.0,NaN
776,0 days 00:01:09.257000,NaN,NaN,291.0
777,0 days 00:01:09.327000,289.0,NaN,NaN
778,0 days 00:01:09.351000,NaN,296.0,NaN
779,0 days 00:01:09.458000,NaN,NaN,267.0
780,0 days 00:01:09.527000,271.0,NaN,NaN
781,0 days 00:01:09.618000,NaN,NaN,259.0
782,0 days 00:01:09.671000,NaN,267.0,NaN
783,0 days 00:01:09.807000,250.0,NaN,NaN
784,0 days 00:01:09.817000,NaN,NaN,252.0
785,0 days 00:01:09.951000,NaN,249.0,NaN
786,0 days 00:01:10.087000,236.0,NaN,NaN
787,0 days 00:01:10.097000,NaN,NaN,232.0
788,0 days 00:01:10.150000,NaN,241.0,NaN
789,0 days 00:01:10.367000,232.0,NaN,NaN
790,0 days 00:01:10.418000,NaN,NaN,225.0
791,0 days 00:01:10.510000,NaN,228.0,NaN
792,0 days 00:01:10.607000,224.0,NaN,NaN
793,0 days 00:01:10.617000,NaN,NaN,219.0
794,0 days 00:01:10.829000,NaN,221.0,NaN
795,0 days 00:01:10.897000,NaN,NaN,217.0
796,0 days 00:01:10.966000,217.0,NaN,NaN
797,0 days 00:01:11.138000,NaN,NaN,219.0
798,0 days 00:01:11.189000,NaN,223.0,NaN
799,0 days 00:01:11.286000,222.0,NaN,NaN
800,0 days 00:01:11.389000,NaN,223.0,NaN
801,0 days 00:01:11.458000,NaN,NaN,223.0
802,0 days 00:01:11.526000,226.0,NaN,NaN
803,0 days 00:01:11.550000,NaN,228.0,NaN
804,0 days 00:01:11.766000,230.0,NaN,NaN
805,0 days 00:01:11.778000,NaN,NaN,231.0
806,0 days 00:01:11.967000,232.0,NaN,NaN
807,0 days 00:01:12.070000,NaN,234.0,NaN
808,0 days 00:01:12.218000,NaN,NaN,240.0
809,0 days 00:01:12.269000,NaN,239.0,NaN
810,0 days 00:01:12.430000,NaN,240.0,NaN
811,0 days 00:01:12.447000,242.0,NaN,NaN
812,0 days 00:01:12.630000,NaN,242.0,NaN
813,0 days 00:01:12.847000,248.0,NaN,NaN
814,0 days 00:01:12.870000,NaN,245.0,NaN
815,0 days 00:01:13.070000,NaN,248.0,NaN
816,0 days 00:01:13.098000,NaN,NaN,254.0
817,0 days 00:01:13.247000,254.0,NaN,NaN
818,0 days 00:01:13.310000,NaN,254.0,NaN
819,0 days 00:01:13.458000,NaN,NaN,260.0
820,0 days 00:01:13.647000,262.0,NaN,NaN
821,0 days 00:01:13.670000,NaN,258.0,NaN
822,0 days 00:01:13.807000,265.0,NaN,NaN
823,0 days 00:01:13.830000,NaN,261.0,NaN
824,0 days 00:01:13.858000,NaN,NaN,267.0
825,0 days 00:01:14.047000,265.0,NaN,NaN
826,0 days 00:01:14.070000,NaN,264.0,NaN
827,0 days 00:01:14.207000,272.0,NaN,NaN
828,0 days 00:01:14.219000,NaN,NaN,271.0
829,0 days 00:01:14.390000,NaN,269.0,NaN
830,0 days 00:01:14.407000,274.0,NaN,NaN
831,0 days 00:01:14.418000,NaN,NaN,274.0
832,0 days 00:01:14.670000,NaN,274.0,NaN
833,0 days 00:01:14.687000,278.0,NaN,NaN
834,0 days 00:01:14.738000,NaN,NaN,279.0
835,0 days 00:01:14.910000,NaN,278.0,NaN
836,0 days 00:01:14.927000,281.0,NaN,NaN
837,0 days 00:01:15.099000,NaN,NaN,285.0
838,0 days 00:01:15.230000,NaN,283.0,NaN
839,0 days 00:01:15.287000,287.0,NaN,NaN
840,0 days 00:01:15.378000,NaN,NaN,289.0
841,0 days 00:01:15.510000,NaN,287.0,NaN
842,0 days 00:01:15.527000,288.0,NaN,NaN
843,0 days 00:01:15.578000,NaN,NaN,292.0
844,0 days 00:01:15.688000,290.0,NaN,NaN
845,0 days 00:01:15.710000,NaN,289.0,NaN
846,0 days 00:01:15.898000,NaN,NaN,294.0
847,0 days 00:01:15.990000,NaN,290.0,NaN
848,0 days 00:01:16.208000,298.0,NaN,NaN
849,0 days 00:01:16.218000,NaN,NaN,299.0
850,0 days 00:01:16.270000,NaN,296.0,NaN
851,0 days 00:01:16.407000,300.0,NaN,NaN
852,0 days 00:01:16.550000,NaN,299.0,NaN
853,0 days 00:01:16.567000,301.0,NaN,NaN
854,0 days 00:01:16.577000,NaN,NaN,303.0
855,0 days 00:01:16.778000,NaN,NaN,305.0
856,0 days 00:01:16.790000,NaN,301.0,NaN
857,0 days 00:01:16.927000,305.0,NaN,NaN
858,0 days 00:01:17.018000,NaN,NaN,307.0
859,0 days 00:01:17.149000,NaN,305.0,NaN
860,0 days 00:01:17.207000,307.0,NaN,NaN
861,0 days 00:01:17.368000,308.0,NaN,NaN
862,0 days 00:01:17.418000,NaN,NaN,310.0
863,0 days 00:01:17.469000,NaN,307.0,NaN
864,0 days 00:01:17.607000,310.0,NaN,NaN
865,0 days 00:01:17.709000,NaN,310.0,NaN
866,0 days 00:01:17.858000,NaN,NaN,313.0
867,0 days 00:01:17.949000,NaN,311.0,NaN
868,0 days 00:01:18.046000,313.0,NaN,NaN
869,0 days 00:01:18.150000,NaN,312.0,NaN
870,0 days 00:01:18.218000,NaN,NaN,314.0
871,0 days 00:01:18.247000,313.0,NaN,NaN
872,0 days 00:01:18.407000,315.0,NaN,NaN
873,0 days 00:01:18.538000,NaN,NaN,315.0
874,0 days 00:01:18.606000,316.0,NaN,NaN
875,0 days 00:01:18.630000,NaN,316.0,NaN
876,0 days 00:01:18.778000,NaN,NaN,316.0